company_name,area,profit,rent,total_price,size,Latlng,parking_count,subway_station_count,bus_station_count,school_count,restaurant_count,bakery_count,movie_theater_count,park_count,convenience_store_count,department_store_count,supermarket_count,parking,subway_station,bus_station,school,restaurant,bakery,movie_theater,park,convenience_store,department_store,supermarket
小卷廚房,紅磡,66000,28000,320000,200,"22.306551,114.186392",5,0,19,10,20,10,1,0,8,0,10,111,,38,68,4,22,19,,52,,52
昇昇小食,油麻地,-32123094,26500,220000,250,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
串棧,長沙灣,61000,30000,260000,200,"22.334942,114.160209",9,0,12,15,20,2,0,1,2,0,5,106,,85,22,8,91,,212,71,,73
豬手哥美食,新蒲崗,-51000,18500,180000,280,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
小小食店,香港仔,-200,39000,250000,250,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
泰味坊,大埔,12100,25000,200000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
一叮小食,鰂魚涌,56290,29000,250000,100,"22.287994,114.210799",8,1,10,6,20,5,0,0,5,0,1,28,181,149,99,10,40,,,75,,160
串燒保燒烤專門店,荃灣,24500,29000,280000,250,"22.3710917,114.1149976",4,0,14,10,20,12,0,3,4,3,9,128,,103,66,33,49,,1,129,50,185
大人氣小食文化,葵芳,24800,49000,295000,230,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
美食站,大角咀,46500,19500,300000,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
大雄小食,大埔,31500,19500,350000,100,"22.4494528,114.164933",0,0,11,9,20,2,0,3,2,0,3,,,70,26,25,64,,74,143,,123
二姐家鄉小食,太子,44800,46000,320000,200,"22.3263625,114.16752",0,0,12,20,20,10,1,3,6,1,6,,,70,58,50,74,120,13,75,78,48
mr 串,大角咀,-2600,22000,150000,400,"22.319898,114.161844",5,0,15,16,20,7,0,2,4,1,5,158,,69,106,1,106,,199,90,252,203
十八子風味 ,西環,20500,23500,200000,105,"22.282486,114.1270759",8,0,20,6,20,8,0,3,4,1,7,77,,35,57,1,53,,143,16,155,27
蜂味小食,沙田,25750,22000,150000,200,"22.4247786,114.2331539",4,1,7,16,20,6,0,0,3,1,8,49,580,120,55,0,520,,,526,165,68
鴻興寶小食,將軍澳,78000,49000,500000,150,"22.297063,114.239277",3,0,12,8,20,6,0,1,7,2,7,109,,65,48,0,49,,806,58,353,19
寶盈小食,屯門,31080,12000,190000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
樂口福,大圍,30000,27000,250000,150,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Mr 193 Fusion,大角咀,-19800,12000,125000,200,"22.3206702,114.1632724",4,0,12,0,20,7,1,3,3,0,5,98,,61,,105,69,269,180,116,,0
捌十胡同,尖沙咀,29600,50000,250000,200,"22.299698,114.1742674",17,0,12,14,20,16,1,1,5,4,8,101,,52,68,17,92,278,108,186,111,109
葵康車仔麵,黃大仙,23200,38000,280000,300,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
生機源,柴灣,-23000,10000,88000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
